Type,Eccentricity,Solidity,Extent,Equivalent_diameter,Convex_hull,CircleRatio,Mean,Variance,Median,Mode,Vertical_symmetry,Horizontal_symmetry,Minimal_distance,Maximal_distance,Length_ratio,Peaks_number,Valleys_number,Average_peak_width,Average_peak_height,Minimal_peak,Average_valley_width,Average_valley_height,Maximal_valley
"Acer platanoides",1.4976,0.71012,0.49929,0.66772,394.27,3.4818,207.98,2095.4,213.26,178.44,1.0171,0.94016,0.50797,1.5092,6.563,13,67.766,59.186,179.7,12,75.783,52.168,-105.65
"Acer platanoides",1.5056,0.51656,0.52232,0.66418,376.19,2.514,197.05,1142.3,196.05,180.26,1.0018,1.0074,0.60203,1.4195,7.0002,15,54.815,47.053,154.91,15,68.997,42.068,-118.63
"Acer platanoides",1.4651,0.56026,0.53389,0.68255,1158,3.7584,596.61,11698,615.25,351.9,0.96906,0.96231,0.50061,1.3532,8.138,18,210.58,143.89,553.58,19,163.2,119.52,-298.67
"Acer platanoides",1.4996,0.67045,0.50987,0.66683,1390.7,8.368,711.05,27664,743.05,290.74,1.0176,0.8803,0.33805,1.4482,10.103,27,269.56,148.7,495.55,27,181.64,136.55,-240.38
"Acer platanoides",1.523,0.61923,0.4966,0.6566,1439.3,3.4166,744.81,19676,762.77,661.37,1.029,0.94712,0.52272,1.379,8.9493,19,286.1,204.69,705.31,20,214.54,167.35,-389.33
"Acer platanoides",1.5668,0.53532,0.49919,0.63826,1288.6,3.6497,667.98,15498,684.88,607.08,1.0082,0.95979,0.50489,1.3849,8.6113,18,230.13,172.71,607.8,19,225.34,145.97,-337.26
"Acer platanoides",1.4477,0.5721,0.51383,0.69076,1183.1,3.7619,611.05,11994,630.22,529.63,1.031,0.95231,0.49914,1.3306,8.3228,19,205.21,138.25,596.26,18,177.63,126.03,-305
"Acer platanoides",1.4689,0.61935,0.48823,0.68077,1672.8,5.0019,842.39,26478,860.32,380.81,1.0432,0.92419,0.44394,1.4297,10.109,31,213.93,155.37,590.37,31,209.55,150.51,-373.97
"Acer platanoides",1.5375,0.60702,0.48544,0.6504,1433.9,3.3149,736.15,19843,752.08,410.48,0.92497,1.0319,0.53493,1.419,8.1888,20,199.69,151.46,673.97,21,241.05,160.68,-393.79
"Acer platanoides",1.58,0.69156,0.48828,0.6329,1431.2,7.8205,734.13,29862,755.74,461.5,0.97389,0.89584,0.34856,1.4249,9.7709,28,223.19,148.16,491.3,28,179.31,134.22,-255.89
